gender,age,marital_status,education,nb_depend_child,employ_status,yrs_current_job,yrs_employed,net_income,spouse_work,spouse_income,residential_status,yrs_current_address,loan_amount,loan_purpose,loan_length,collateral,writeoff
F,41,widowed,highsch,2,full_time,2,2,47813,no,0,tenant,7,33617,debt_consol,36,no,yes
M,32,married,univ,0,self_employ,6,10,95625,no,0,tenant,1,45562,debt_consol,27,no,yes
F,25,divorced,basic,0,self_employ,0,0,25500,no,0,tenant,6,18977,debt_consol,34,no,yes
F,34,single,highsch,0,full_time,7,12,47813,no,0,tenant,13,23406,wedding,50,no,no
M,31,divorced,univ,1,part_time,6,9,47813,no,0,owner_morg,15,7063,other,7,yes,no
M,25,single,highsch,0,unemployed,0,4,0,no,0,owner,3,19704,vehicle,40,yes,no
M,24,divorced,univ,0,part_time,0,4,31875,no,0,tenant,4,30660,other,26,no,yes
M,44,single,highsch,0,unemployed,0,19,0,no,0,owner,5,5031,vehicle,6,yes,no
M,44,single,highsch,0,unemployed,0,3,0,no,0,tenant,2,12058,debt_consol,53,no,yes
F,41,single,postgrad,0,full_time,7,18,127500,no,0,tenant,11,119208,debt_consol,75,no,yes
M,28,divorced,highsch,1,unemployed,0,2,0,no,0,tenant,10,11716,wedding,57,no,yes
F,56,single,highsch,0,self_employ,10,23,66938,no,0,owner_morg,11,6028,wedding,10,yes,no
M,33,single,postgrad,0,full_time,7,6,127500,no,0,tenant,5,113314,debt_consol,71,no,yes
M,29,married,postgrad,1,unemployed,0,1,0,yes,22875,tenant,10,11345,vehicle,58,no,no
M,31,divorced,univ,0,full_time,0,8,79688,no,0,owner_morg,13,29226,wedding,38,no,yes
M,27,divorced,univ,3,part_time,1,2,31875,no,0,owner_morg,6,9770,wedding,6,no,yes
F,27,divorced,highsch,0,full_time,1,4,31875,no,0,tenant,4,30771,debt_consol,51,no,yes
F,35,single,univ,0,self_employ,0,3,95625,no,0,tenant,15,76001,debt_consol,42,no,yes
F,33,single,highsch,0,unemployed,0,9,0,no,0,tenant,14,8703,debt_consol,9,no,yes
M,24,widowed,basic,1,self_employ,0,4,25500,no,0,tenant,7,23234,wedding,50,no,no
F,27,married,univ,3,unemployed,0,6,0,yes,38425,owner,9,12569,other,30,no,no
F,44,married,highsch,0,self_employ,1,17,57375,no,0,owner,9,42439,debt_consol,25,yes,no
M,25,single,univ,0,part_time,1,2,31875,no,0,tenant,3,27970,wedding,59,no,yes
F,35,divorced,postgrad,2,full_time,7,10,127500,no,0,tenant,13,15694,other,50,no,no
M,36,married,basic,2,part_time,8,12,19125,yes,49325,tenant,7,41986,other,54,no,no
F,47,single,univ,0,self_employ,9,13,95625,no,0,tenant,12,48428,debt_consol,60,no,yes
F,51,divorced,univ,1,part_time,15,24,55781,no,0,tenant,9,49504,debt_consol,38,no,no
F,23,single,univ,0,self_employ,1,1,63750,no,0,tenant,6,13814,debt_consol,26,no,yes
M,38,widowed,highsch,1,full_time,1,7,47813,no,0,tenant,11,29577,other,30,no,no
M,31,divorced,univ,3,full_time,4,5,79688,no,0,tenant,13,24278,vehicle,34,yes,no
M,21,divorced,basic,1,self_employ,0,2,25500,no,0,tenant,5,5090,other,9,no,yes
M,47,single,univ,0,part_time,15,15,47813,no,0,owner_morg,13,47080,home_improv,44,yes,no
M,23,single,basic,0,part_time,1,2,12750,no,0,tenant,8,14079,wedding,54,no,yes
F,26,single,univ,0,full_time,0,0,53125,no,0,tenant,10,32007,debt_consol,44,no,yes
F,42,widowed,highsch,2,self_employ,11,11,57375,no,0,owner_morg,9,10925,debt_consol,45,no,yes
F,30,divorced,highsch,2,part_time,5,6,28688,no,0,owner_morg,3,22385,wedding,40,no,yes
M,22,divorced,univ,0,full_time,0,3,53125,no,0,owner,5,8456,debt_consol,6,yes,no
M,32,single,basic,0,full_time,2,8,31875,no,0,owner,14,27167,wedding,26,no,yes
M,41,divorced,univ,1,full_time,12,18,79688,no,0,tenant,13,32154,other,43,no,yes
M,25,married,highsch,1,full_time,1,2,31875,yes,37025,owner,6,27523,vehicle,53,yes,no
M,32,single,highsch,0,part_time,3,9,28688,no,0,tenant,9,7442,wedding,11,no,no
F,31,single,univ,0,full_time,3,3,79688,no,0,owner_morg,15,38375,debt_consol,40,no,yes
F,23,divorced,univ,0,full_time,1,1,53125,no,0,tenant,8,29247,debt_consol,29,no,yes
M,36,widowed,postgrad,0,full_time,3,14,127500,no,0,owner,6,28778,vehicle,55,yes,no
F,39,married,highsch,2,full_time,4,17,47813,yes,53618,owner_morg,8,16695,holidays,44,no,no
M,31,divorced,basic,0,unemployed,0,5,0,no,0,owner_morg,8,18464,other,48,yes,yes
F,29,married,univ,2,part_time,4,4,31875,no,0,owner,8,12326,debt_consol,55,yes,no
M,30,divorced,univ,0,full_time,5,6,79688,no,0,owner,11,77983,home_improv,43,no,yes
M,36,married,highsch,2,self_employ,3,10,57375,yes,31290,owner_morg,14,62251,debt_consol,58,yes,no
F,30,married,postgrad,2,self_employ,0,0,153000,no,0,owner,14,150946,debt_consol,87,yes,no
M,30,single,univ,0,self_employ,6,9,95625,no,0,owner_morg,12,51441,home_improv,49,yes,no
F,31,married,highsch,1,full_time,6,7,47813,yes,53944,owner,15,67429,home_improv,50,yes,no
F,33,married,postgrad,1,full_time,3,10,127500,yes,54576,owner_morg,2,44249,debt_consol,38,no,no
M,43,married,univ,2,unemployed,0,5,0,yes,50432,owner_morg,11,33217,debt_consol,29,no,no
M,34,divorced,highsch,1,part_time,3,6,28688,no,0,tenant,8,20015,debt_consol,35,no,yes
M,34,single,basic,0,full_time,5,6,31875,no,0,tenant,3,20713,wedding,47,no,yes
M,33,married,highsch,2,self_employ,7,8,57375,yes,29893,owner_morg,15,39638,home_improv,38,yes,no
F,24,single,highsch,0,unemployed,0,0,0,no,0,owner_morg,6,6618,other,8,no,yes
F,36,married,postgrad,1,unemployed,0,5,0,yes,7344,tenant,12,13577,other,32,no,no
F,22,single,basic,0,unemployed,0,0,0,no,0,tenant,7,9873,vehicle,6,no,yes
M,29,married,postgrad,2,part_time,4,3,51000,no,0,tenant,5,22911,vehicle,49,no,no
F,42,widowed,univ,1,full_time,8,12,79688,no,0,owner_morg,3,32102,home_improv,43,no,yes
F,47,divorced,univ,1,full_time,11,18,79688,no,0,owner,6,51024,home_improv,45,yes,no
M,24,single,basic,0,full_time,0,1,21250,no,0,owner,4,11913,other,57,yes,no
M,34,single,univ,0,part_time,6,6,47813,no,0,owner_morg,1,29571,debt_consol,39,no,yes
M,45,single,highsch,0,full_time,0,10,47813,no,0,tenant,8,12226,wedding,38,no,yes
M,37,divorced,highsch,0,part_time,3,7,28688,no,0,owner_morg,13,6114,other,7,no,yes
F,33,divorced,univ,3,unemployed,0,7,0,no,0,tenant,12,16350,vehicle,26,no,yes
